rank,prospect_id,company,contact,role,email,phone,evidence,pain_signal,ICP_fit,offer_match,confidence,message_angle,review_status
1,P4-011,Blueprint Business Solutions,UNKNOWN,UNKNOWN,info@blueprintbusinesssolutionscorp.com,+1 (347) 973-8677,"PROVEN: appointment-setting outsourcer publishing company email and phones on own Texas page (Feb-2026). Addresses published, not delivery-verified.",hypothesis: top-of-funnel identification passes unqualified rows into client calendars,0.80,p4_lead_cleaner,0.70,qualify rows before they reach client calendars,PENDING_REVIEW
2,P4-013,EBQ,UNKNOWN,UNKNOWN,info@ebq.com,(512) 637-9696,"PROVEN: US-based appointment setter (20+ yrs per own site) publishing Austin address, phone, and email (Mar-2026 article). Contacts published, not delivery-verified.",hypothesis: 5-touch follow-up cadences waste attempts on dead records,0.80,p4_lead_cleaner,0.70,every follow-up attempt lands on a real record,PENDING_REVIEW
3,P4-004,DFW Off Market Deals (Dallas Homes for Cash),UNKNOWN,UNKNOWN,UNKNOWN,(469) 305-0988,"PROVEN: DFW cash-buyer outfit publishing company line (469) 305-0988 and Dallas office address on own site. Number published, not dial-verified.",hypothesis: VIP buyer intake forms collect duplicates and bad numbers before matching,0.75,p4_lead_cleaner,0.70,clean VIP intake before deal matching,PENDING_REVIEW
4,P4-010,HANGAR49,UNKNOWN,UNKNOWN,UNKNOWN,+1-347-518-4084,"PROVEN: B2B lead-gen agency publishing company line +1-347-518-4084 on own Dallas page. Number published, not dial-verified.",hypothesis: conversation-led outbound depends on contact accuracy for handoffs,0.75,p4_lead_cleaner,0.65,hand sales only verified contacts,PENDING_REVIEW
5,P4-015,Visionary Solutions Inc,UNKNOWN,UNKNOWN,info@vscinc.com,+1 888-814-8189,"PROVEN: Texas sales-outsourcing firm publishing phone and email on own site (May-2026 article). Contacts published, not delivery-verified.",hypothesis: rapid team expansion multiplies list-quality variance,0.75,p4_lead_cleaner,0.65,standardize list quality as teams scale,PENDING_REVIEW
6,P4-018,NATiVE Solar,UNKNOWN,UNKNOWN,info@nativesolar.com,855.234.3131,"PROVEN: DFW solar+battery installer publishing email and phone on own DFW page (Jun-2025). Contacts published, not delivery-verified.",hypothesis: door-knock and web-lead lists mix service areas and duplicates,0.70,p4_lead_cleaner,0.65,route only real local records to closers,PENDING_REVIEW
7,P4-019,Good Faith Energy,UNKNOWN,UNKNOWN,info@goodfaithenergy.com,(972) 777-6937,"PROVEN: Addison TX solar installer since 2014 publishing address, phone, and email on own site. Contacts published, not delivery-verified.",hypothesis: 770+ review-scale lead flow accumulates duplicates across DFW cities,0.70,p4_lead_cleaner,0.65,keep high-volume inbound lists callable,PENDING_REVIEW
8,P4-020,Solar SME,UNKNOWN,UNKNOWN,info@solarsme.com,(832) 626-2337,"PROVEN: Texas solar installer (10+ yrs per own site) publishing Grand Prairie office, email, and phone. Contacts published, not delivery-verified.",hypothesis: quote-request lists include renters and out-of-area records,0.65,p4_lead_cleaner,0.60,filter quote lists to callable owners,PENDING_REVIEW
9,P4-021,Longhorn Solar,UNKNOWN,UNKNOWN,info@longhornsolar.com,(972) 850-7764,"PROVEN: Austin-founded solar company (2009, 2300+ installs per own site) publishing Plano office contacts. Contacts published, not delivery-verified.",hypothesis: multi-city operations duplicate households across metros,0.65,p4_lead_cleaner,0.60,dedupe households across metros,PENDING_REVIEW
10,P4-022,North Texas Solar,UNKNOWN,UNKNOWN,info@northtexassolar.com,(940) 387-2716,"PROVEN: Fort Worth solar installer (locally owned since 2015 per own site) publishing address, email, phone. Contacts published, not delivery-verified.",hypothesis: in-house crews idle when appointment lists contain bad numbers,0.65,p4_lead_cleaner,0.60,feed crews only callable appointments,PENDING_REVIEW
