prospect_id,company,website,contact_name,role,email,phone,source,source_url,evidence,pain_signal,ICP_fit,confidence,qualification_status,offer_match,recommended_message_angle,status
P4-001,DispoBridge,dispobridge.com,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,web_search 2026-09-16,https://dispobridge.com/join-buyer-list/texas/dallas/,"PROVEN: wholesale dispo platform by Bridgepoint Property Partners (site live, 2025-founded per own site). Buyer-network size per own site (unverified).",hypothesis: runs 500+ investor outreach lists where duplicates and dead numbers waste dispo speed,0.80,0.70,QUALIFIED,p4_lead_cleaner,dispo speed: clean buyer/investor lists before blasts,NEW
P4-002,Cities Real Estate,citiesrealestate.com,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,web_search 2026-09-16,https://www.citiesrealestate.com/blog/dfw-investor-property-list-probate-distressed-homes/,"PROVEN: DFW brokerage running a verified investor list (21 yrs per own site, May-2026 article). List hygiene explicitly enforced per own page.",hypothesis: investor-list signups accumulate duplicates and fake contacts that must be scrubbed,0.75,0.70,QUALIFIED,p4_lead_cleaner,list integrity for a verified investor list,NEW
P4-003,Wholesale Property TX,wholesalepropertytx.com,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,web_search 2026-09-16,https://wholesalepropertytx.com/,"PROVEN: Texas wholesale deal sourcer operating since 2018 per own site; buyer-list business model.",hypothesis: 1200+ investor list needs recurring dedupe and dead-number removal (own-site size claim unverified),0.80,0.65,QUALIFIED,p4_lead_cleaner,keep a large buyer list callable,NEW
P4-004,DFW Off Market Deals (Dallas Homes for Cash),dallashomesforcash.com,UNKNOWN,UNKNOWN,UNKNOWN,(469) 305-0988,web_search 2026-09-16,https://www.dallashomesforcash.com/dfw-vip-buyers-list,"PROVEN: DFW cash-buyer outfit publishing company line (469) 305-0988 and Dallas office address on own site. Number published, not dial-verified.",hypothesis: VIP buyer intake forms collect duplicates and bad numbers before matching,0.75,0.70,QUALIFIED,p4_lead_cleaner,clean VIP intake before deal matching,NEW
P4-005,Deal Run,dealrun.ai,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,web_search 2026-09-16,https://dealrun.ai/find-buyers/dallas-tx,"PROVEN: investor-buyer identification SaaS with Dallas deal data product (article dated 2026-03-15).",hypothesis:skip-trace outputs and investor contact exports need dedupe and fake-pattern screening,0.70,0.65,QUALIFIED,p4_lead_cleaner,verify exported investor contacts before outreach,NEW
P4-006,Pearl Lemon Leads USA,pearllemonleadsusa.com,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,web_search 2026-09-16,https://pearllemonleadsusa.com/cold-calling-agency-dallas-tx/,"PROVEN: Dallas B2B cold-calling agency (500-2000 calls/campaign per own site). High-volume dialing operation.",hypothesis: 500-2000-call campaigns burn rep time on bad numbers and duplicates,0.85,0.75,QUALIFIED,p4_lead_cleaner,stop burning dialer time on bad records,NEW
P4-007,Growth Rhino,growthrhino.com,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,web_search 2026-09-16,https://growthrhino.com/b2b-appointment-setting-services-dallas,"PROVEN: Dallas B2B appointment-setting agency (micro-campaign model per own site).",hypothesis: small test-list campaigns fail when seed data contains dead contacts,0.80,0.70,QUALIFIED,p4_lead_cleaner,make micro-campaign data callable,NEW
P4-008,Wind River Marketing,windrivermarketing.net,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,web_search 2026-09-16,https://www.windrivermarketing.net/dallas-fort-worth/,"PROVEN: DFW B2B telemarketing agency for commercial services (own site, Jun-2025 article).",hypothesis: commercial-service call lists decay fast across territories,0.80,0.70,QUALIFIED,p4_lead_cleaner,territory list hygiene for commercial dialing,NEW
P4-009,L4RG,l4rg.com,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,web_search 2026-09-16,https://www.l4rg.com/services/outsourced-business-development/dallas-tx/,"PROVEN: outsourced B2B business-development firm, Dallas practice (20+ yrs per own site, Oct-2025 article).",hypothesis: multi-channel prospect data across LinkedIn/email/phone duplicates without dedupe keys,0.75,0.65,QUALIFIED,p4_lead_cleaner,one deduped key across three channels,NEW
P4-010,HANGAR49,welcome.hangar49.com,UNKNOWN,UNKNOWN,UNKNOWN,+1-347-518-4084,web_search 2026-09-16,https://welcome.hangar49.com/b2b-lead-gen/dallas,"PROVEN: B2B lead-gen agency publishing company line +1-347-518-4084 on own Dallas page. Number published, not dial-verified.",hypothesis: conversation-led outbound depends on contact accuracy for handoffs,0.75,0.65,QUALIFIED,p4_lead_cleaner,hand sales only verified contacts,NEW
